	id	track_id	v1F	v1P	v1R	v3F	v3P	v3R
0	0.0	Cerulean_Astor_Piazzolla-El_Desbande.mp3	0.916666666667	0.846153846154	1.0	0.9	1.0	0.818181818182
1	1.0	Cerulean_Dream_Theater-6:00:00.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
2	2.0	Cerulean_Eddie_Palmieri-Adoracion.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
3	3.0	Cerulean_Elvis_Presley-Heartbreak_Hotel.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
4	4.0	Cerulean_English_Chamber_Orchestra_&_Raymond_Leppard-Cano.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
5	5.0	Cerulean_Flogging_Molly-The_Light_of_a_Fading_Star.mp3	0.875	0.777777777778	1.0	0.833333333333	1.0	0.714285714286
6	6.0	Cerulean_Iron_&_Wine-Summer_In_Savannah.mp3	0.9	0.818181818182	1.0	0.875	1.0	0.777777777778
7	7.0	Cerulean_M.I.A.-Boyz.mp3	0.916666666667	0.846153846154	1.0	0.9	1.0	0.818181818182
8	8.0	Cerulean_Meshuggah-Future_Breed_Machine.mp3	0.9	0.818181818182	1.0	0.875	1.0	0.777777777778
9	9.0	Cerulean_Metallica-Harvester_of_Sorrow.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
10	10.0	Cerulean_Metallica-Master_of_Puppets.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
11	11.0	Cerulean_Rush-Natural_Science.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
12	12.0	Cerulean_The_Dillinger_Escape_Plan-Sugar_Coated_Sour.mp3	0.923076923077	0.857142857143	1.0	0.909090909091	1.0	0.833333333333
13	13.0	Cerulean_Yes-Starship_Trooper:_A._Life_Seeker,_B._Disillu.mp3	0.944444444444	0.894736842105	1.0	0.9375	1.0	0.882352941176
14	14.0	Epiphyte_0122_heardemall.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
15	15.0	Epiphyte_0215_pointofknowreturn.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
16	16.0	Epiphyte_0228_ridethelightning.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
17	17.0	Epiphyte_0268_supersonic.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
18	18.0	Isophonics_03_-_Baby's_In_Black.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
19	19.0	Isophonics_04_-_Erbauliche_Gedanken_Eines_Tobackrauchers.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
20	20.0	Isophonics_1-05 Rockin' Robin.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
21	21.0	Isophonics_11_-_Ich_Kann_Heute_Nicht.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
22	22.0	Isophonics_12_-_I've_Just_Seen_a_Face.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
23	23.0	Isophonics_14_-_Santa_Donna_Lucia_Mobile.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
24	24.0	SALAMI_1448.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
25	25.0	SALAMI_1456.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
26	26.0	SALAMI_1504.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
27	27.0	SALAMI_1548.mp3	0.928571428571	0.866666666667	1.0	0.916666666667	1.0	0.846153846154
28	28.0	SALAMI_258.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
29	29.0	SALAMI_296.mp3	0.9	0.818181818182	1.0	0.875	1.0	0.777777777778
30	30.0	SALAMI_306.mp3	0.9	0.818181818182	1.0	0.875	1.0	0.777777777778
31	31.0	SALAMI_312.mp3	0.9	0.818181818182	1.0	0.875	1.0	0.777777777778
32	32.0	SALAMI_330.mp3	0.909090909091	0.833333333333	1.0	0.888888888889	1.0	0.8
33	33.0	SALAMI_364.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
34	34.0	SALAMI_376.mp3	0.9	0.818181818182	1.0	0.875	1.0	0.777777777778
35	35.0	SALAMI_380.mp3	0.9	0.818181818182	1.0	0.875	1.0	0.777777777778
36	36.0	SALAMI_382.mp3	0.916666666667	0.846153846154	1.0	0.9	1.0	0.818181818182
37	37.0	SALAMI_540.mp3	0.909090909091	0.833333333333	1.0	0.888888888889	1.0	0.8
38	38.0	SALAMI_554.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
39	39.0	SALAMI_556.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
40	40.0	SALAMI_558.mp3	0.9	0.818181818182	1.0	0.875	1.0	0.777777777778
41	41.0	SALAMI_652.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
42	42.0	SALAMI_656.mp3	0.909090909091	0.833333333333	1.0	0.888888888889	1.0	0.8
43	43.0	SALAMI_746.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
44	44.0	SALAMI_786.mp3	0.9	0.818181818182	1.0	0.875	1.0	0.777777777778
45	45.0	SALAMI_8.mp3	0.909090909091	0.833333333333	1.0	0.888888888889	1.0	0.8
46	46.0	SALAMI_818.mp3	0.9	0.818181818182	1.0	0.875	1.0	0.777777777778
47	47.0	SALAMI_888.mp3	0.9	0.818181818182	1.0	0.875	1.0	0.777777777778
48	48.0	SALAMI_898.mp3	0.928571428571	0.866666666667	1.0	0.916666666667	1.0	0.846153846154
49	49.0	SALAMI_904.mp3	0.888888888889	0.8	1.0	0.857142857143	1.0	0.75
